"GeV cm-2 s-1(E GeV), created by Plot Digitizer, 2.6.8"
"Date: 9/23/21, 8:12:02 PM"


14
E GeV,GeV cm-2 s-1
0.192257,7.54387e-07,
0.318841,7.54241e-07,
0.517676,7.95238e-07,
0.865777,7.30302e-07,
1.40550,6.68897e-07,
2.29124,5.71777e-07,
3.83109,4.18979e-07,
6.29847,3.41426e-07,
10.3117,2.98913e-07,
17.0928,1.82359e-07,
28.0831,7.73205e-08,
45.9826,7.62860e-08,
75.6426,1.14204e-07,
124.991,2.13131e-07,
