"GeV cm-2 s-1(E GeV), created by Plot Digitizer, 2.6.8"
"Date: 9/23/21, 8:18:27 PM"


14
E GeV,GeV cm-2 s-1
0.191438,7.40493e-07,
0.316135,7.39041e-07,
0.519138,7.84747e-07,
0.857201,7.04272e-07,
1.39550,6.35420e-07,
2.33042,5.43637e-07,
3.81459,3.91718e-07,
6.29778,3.05660e-07,
10.3395,2.56921e-07,
17.1127,1.41194e-07,
27.9857,4.03020e-08,
45.9411,3.05155e-08,
76.7670,4.91223e-08,
124.709,9.07860e-08,
