0.617295,1.05357,
0.691168,1.10810,
0.777263,1.14055,
0.844210,1.14058,
0.974453,1.19964,
1.08162,1.25267,
1.28150,1.31280,
1.56523,1.39078,
1.85452,1.40598,
2.04959,1.41111,
2.31487,1.53305,
2.88941,1.76439,
3.16558,1.88263,
3.45303,2.07497,
3.84943,2.23809,
4.36659,2.44907,
5.24131,2.68001,
6.04991,2.83914,
6.51400,2.92221,
8.06026,3.41197,
9.84439,3.92682,
11.1672,4.15995,
12.7228,4.45480,
15.0075,5.27680,
18.7311,6.74170,
24.4180,8.45969,
25.8377,8.77011,
27.9394,9.91286,
31.2809,11.6995,
36.2618,13.8582,
41.1315,16.4743,
46.0520,18.5542,
51.3387,19.9408,
58.2371,21.0488,
64.3617,21.9003,
70.8215,22.8684,
78.2705,23.2848,
89.9563,23.3701,
101.163,23.5401,
131.323,22.9564,
154.252,21.8290,
185.975,20.6082,
263.376,17.7815,
349.438,15.3976,
501.385,12.5870,
685.796,10.4386,
1023.31,8.14298,
1418.08,6.63259,
